objectid,type,format,display_template:,filename,title,date,item_information,description,subject,creator,original-identifier,rights,recipient
flickr_test_set_288,Photograph,image/jpeg,image,09HappyBirthday_2409792_o.jpg,09HappyBirthday,2003-1-9,Tue Dec 21 13:26:04 GMT-0500 2004,(no description) Photo taken on: Mon Sep 1 16:33:15 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409792/,Creative Commons (http://creativecommons.org/licenses),3
flickr_test_set_289,Photograph,image/jpeg,image,100406_giveup_459280710_o.jpg,100406_giveup,2006-4-10,Sat Apr 14 21:44:56 GMT-0400 2007,(no description) Photo taken on: Wed Oct 4 16:25:43 GMT-0400 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459280710/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_290,Photograph,image/jpeg,image,100406_quandry_459280798_o.jpg,100406_quandry,2006-4-10,Sat Apr 14 21:45:02 GMT-0400 2007,(no description) Photo taken on: Wed Oct 4 16:14:48 GMT-0400 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459280798/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_291,Photograph,image/jpeg,image,101206_15163jpg_268027718_o.jpg,101206_15163.jpg,2006-12-10,Thu Oct 12 16:37:48 GMT-0400 2006,At playground Photo taken on: Thu Oct 12 19:17:01 GMT-0400 2006,phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/268027718/,Creative Commons (http://creativecommons.org/licenses),7
flickr_test_set_292,Photograph,image/jpeg,image,10yummy_2409802_o.jpg,10yummy,2003-1-9,Tue Dec 21 13:26:08 GMT-0500 2004,(no description) Photo taken on: Mon Sep 1 16:35:57 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409802/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_293,Photograph,image/jpeg,image,110706_ttown_459281924_o.jpg,110706_ttown,2006-7-11,Sat Apr 14 21:46:12 GMT-0400 2007,(no description) Photo taken on: Tue Nov 7 17:50:01 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459281924/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_294,Photograph,image/jpeg,image,110706_watery_459282050_o.jpg,110706_watery,2006-7-11,Sat Apr 14 21:46:20 GMT-0400 2007,(no description) Photo taken on: Tue Nov 7 17:27:35 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459282050/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_295,Photograph,image/jpeg,image,110806_bro_exp_459292877_o.jpg,110806_bro_exp,2006-8-11,Sat Apr 14 21:46:32 GMT-0400 2007,(no description) Photo taken on: Wed Nov 8 18:26:19 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459292877/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_296,Photograph,image/jpeg,image,110806_ezbot_459292985_o.jpg,110806_ezbot,2006-8-11,Sat Apr 14 21:46:38 GMT-0400 2007,(no description) Photo taken on: Wed Nov 8 17:00:55 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459292985/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_297,Photograph,image/jpeg,image,110906_stilts_459293155_o.jpg,110906_stilts,2006-9-11,Sat Apr 14 21:46:50 GMT-0400 2007,(no description) Photo taken on: Thu Nov 9 19:15:19 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459293155/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_298,Photograph,image/jpeg,image,11TehTah_2409803_o.jpg,11TehTah,2003-1-9,Tue Dec 21 13:26:12 GMT-0500 2004,(no description) Photo taken on: Mon Sep 1 16:34:22 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409803/,Creative Commons (http://creativecommons.org/licenses),3
flickr_test_set_299,Photograph,image/jpeg,image,120406_sitting_459293743_o.jpg,120406_sitting,2006-4-12,Sat Apr 14 21:47:36 GMT-0400 2007,(no description) Photo taken on: Mon Dec 4 13:31:56 GMT-0500 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459293743/,Creative Commons (http://creativecommons.org/licenses),1
